Descrição;Qtd Entr;Vlr Entr;Qtd Saídas;Vlr Saídas;R$ Atual
BAURU DE FRANGO ARTE PAO KG;40,128;855,82;7,192;289,65;42,99
BAURU DE PRESUNTO/QUEIJO ARTE E;40,0;637,74;7,74;314,67;42,99
BISC CASEIRO COCO ARTE PAO KG;15,0;191,32;0,0;0,0;19,99
BISC CASEIRO LIMAO ARTE PAO KG;15,0;191,32;0,0;0,0;19,99
BISC DE OLHO DE BOI ARTE PAO KG;10,0;127,55;0,0;0,0;19,99
BISC PETIT FOUR ARTE PAO KG;10,0;159,44;0,0;0,0;29,99
BISNAGUINHA ARTE PAO KG;20,0;318,87;8,614;314,77;42,99
BOLO AMENDOIM ARTE PAO KG;20,0;255,1;0,0;0,0;41,49
BOLO BANANA ARTE PAO KG;30,0;382,64;7,772;156,64;24,99
BOLO BANANA C/CALDA ARTE PAO KG;10,0;127,55;6,316;131,12;29,99
BOLO CENOURA ARTE PAO KG;30,0;382,64;10,966;239,04;29,99
BOLO CENOURA C/COBERTURA CHOC ARTE;50,0;637,74;6,51;195,24;32,99
BOLO CHOCOLATE C/ COBERTURA ARTE;50,0;637,74;3,88;108,58;39,99
BOLO CHOCOLATE C/BOMBOM ARTE PAO;10,0;127,55;0,0;0,0;29,99
BOLO CHOCOLATE C/LEITINHO ARTE PAO;10,0;127,55;0,0;0,0;29,99
BOLO CHOCOLATE RECHEADO ARTE PAO;10,0;159,44;2,838;102,14;39,99
BOLO CONF M.BRANCA BEIJINHO ARTE PAO;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.BRANCA C/ CHOC E AVELA;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.BRANCA C/AMENDOIM ARTE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.BRANCA C/BOMBOM ARTE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.BRANCA C/BRIGADEIRO;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.BRANCA C/CHOCOLATE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.BRANCA C/LEITINHO ARTE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.BRANCA C/LIMAO ARTE PAO;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.BRANCA C/MARACUJA ARTE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.BRANCA C/MORANGO ARTE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.CHOC C/AMENDOIM ARTE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.CHOC C/BOMBOM ARTE PAO;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.CHOC C/BRIGADEIRO ARTE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.CHOC C/CHOC E AVELA ARTE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.CHOC C/CHOCOLATE ARTE;10,0;212,58;3,952;158,05;39,99
BOLO CONF M.CHOC C/LEITINHO ARTE PAO;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.CHOC C/LIMAO ARTE PAO KG;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.CHOC C/MORANGO ARTE;10,0;212,58;0,0;0,0;39,99
BOLO CONF M.CHOC PRESTIGIO ARTE PAO;10,0;212,58;0,0;0,0;39,99
BOLO DE ABACAXI ARTE PAO KG;10,0;127,55;0,0;0,0;34,99
BOLO DE AIPIM ARTE PAO KG;10,0;127,55;6,488;129,76;34,99
BOLO DE BROA MINEIRA ARTE PAO KG;10,0;127,55;0,722;24,04;34,99
BOLO DE CHOCOLATE ARTE PAO KG;10,0;127,55;0,0;0,0;39,99
BOLO DE CHOCOLATE C/COCO ARTE PAO;10,0;127,55;0,0;0,0;39,99
